iter	Passed	Remaining
826	2598	543
827	2601	540
828	2604	537
829	2607	534
830	2610	530
831	2612	527
832	2615	524
833	2618	521
834	2623	518
835	2626	515
836	2630	512
837	2634	509
838	2639	506
839	2643	503
840	2647	500
841	2651	497
842	2654	494
843	2658	491
844	2661	488
845	2664	484
846	2667	481
847	2671	478
848	2674	475
849	2677	472
850	2680	469
851	2682	466
852	2685	462
853	2688	459
854	2691	456
855	2695	453
856	2699	450
857	2703	447
858	2706	444
859	2709	441
860	2712	437
861	2715	434
862	2718	431
863	2722	428
864	2725	425
865	2727	422
866	2730	418
867	2733	415
868	2737	412
869	2740	409
870	2743	406
871	2747	403
872	2750	400
873	2753	396
874	2757	393
875	2760	390
876	2763	387
877	2766	384
878	2770	381
879	2773	378
880	2776	375
881	2779	371
882	2782	368
883	2786	365
884	2789	362
885	2791	359
886	2795	356
887	2798	352
888	2801	349
889	2804	346
890	2807	343
891	2811	340
892	2813	337
893	2817	334
894	2820	330
895	2823	327
896	2826	324
897	2829	321
898	2833	318
899	2836	315
900	2839	311
901	2843	308
902	2847	305
903	2851	302
904	2853	299
905	2858	296
906	2861	293
907	2865	290
908	2868	287
909	2871	284
910	2874	280
911	2877	277
912	2882	274
913	2884	271
914	2888	268
915	2891	265
916	2894	261
917	2897	258
918	2900	255
919	2903	252
920	2907	249
921	2910	246
922	2914	243
923	2917	239
924	2921	236
925	2924	233
926	2927	230
927	2930	227
928	2933	224
929	2936	221
930	2942	218
931	2947	215
932	2953	212
933	2955	208
934	2959	205
935	2962	202
936	2965	199
937	2969	196
938	2972	193
939	2975	189
940	2978	186
941	2981	183
942	2984	180
943	2987	177
944	2991	174
945	2994	170
946	2997	167
947	3000	164
948	3003	161
949	3006	158
950	3009	155
951	3012	151
952	3015	148
953	3018	145
954	3021	142
955	3024	139
956	3027	136
957	3031	132
958	3033	129
959	3036	126
960	3039	123
961	3042	120
962	3046	117
963	3048	113
964	3051	110
965	3054	107
966	3057	104
967	3061	101
968	3064	98
969	3067	94
970	3135	93
971	3139	90
972	3143	87
973	3145	83
974	3148	80
975	3151	77
976	3155	74
977	3159	71
978	3162	67
979	3165	64
980	3168	61
981	3172	58
982	3175	54
983	3178	51
984	3181	48
985	3184	45
986	3187	41
987	3191	38
988	3194	35
989	3197	32
990	3200	29
991	3204	25
992	3207	22
993	3210	19
994	3213	16
995	3216	12
996	3218	9
997	3221	6
998	3224	3
999	3227	0
